company_name,date,country,revenue,industry,data volume,Data Type - None,Data Type - Databases,Data Type - Applications,Data Type - Emails,Data Type - Source Code,Data Type - Business Information,Data Type - Designs,Data Type - Financial Information,Data Type - Research Information,Data Type - Employee Information,Data Type - Customer Information,Data Type - Company Information,Data Type - Backup Systems Information,Data Type - Supply Systems Information,Data Type - Business Deals Information,Data Type - Manufacturing Information,Data Type - Personal Information,Data Type - Government Information,Data Type - Medical Information
Robertson Cheatham Farmers,2024-04-10,United States,5,Agriculture,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hallesche Kraftverkehrs & Speditions GmbH,2024-03-20,Germany,24,Logistics & Transportation,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crowe,2024-08-27,United States,1300,Professional Services,1476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Magicolor,2024-04-29,Canada,5,Technology,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arcmed Group,2024-08-08,United States,8,Medical Devices,3,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Mid-South Health Systems,2024-04-19,United States,29,Healthcare,411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bartlett & Weigle Co. LPA.,2024-07-01,United States,,Legal Services,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Optima Manufacturing,2024-04-11,Canada,28,Manufacturing,412,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NetVigour,2024-03-11,United States,7,Cloud Computing,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trade-Mark Industrial,2024-05-08,Canada,286,Construction & Industrial Services,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Réseau Ribé,2024-02-16,France,25,Technology,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOPEM,2024-03-16,Tunisia,11,Manufacturing,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paulmann Licht,2024-04-09,Germany,57,Lighting,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alupar Investimento SA,2024-03-16,Brazil,939,Energy & Utilities,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Inszone Insurance Services,2024-04-11,United States,280,Insurance,213,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Carespring Health Care,2024-02-11,United States,57,Healthcare,391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finlay Screening & Crushing Systems,2024-02-20,Australia,19,Mining & Construction,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATL Leasing,2024-03-13,Tunisia,67,Leasing Services,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chicago Zoological Society,2024-02-17,United States,72,Non-Profit / Zoological Services,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jess-link Products,2024-05-20,Taiwan,150,Electronics,435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wapiti Energy,2024-03-16,United States,26,Energy,436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tamdown,2024-01-25,United Kingdom,141,Construction,1898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Integrated Control,2024-04-13,United States,6,Automation & Control Systems,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Durham Manufacturing,2024-07-31,United States,23,Manufacturing,14,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1
Сoquitlam Concrete,2024-07-04,United States,5,Construction,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordano's Inc.,2024-04-13,United States,229,Food & Beverage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DataBank,2024-04-04,United States,278,Data Centers & IT,1616,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Circle K Atlanta,2024-06-19,United States,74,Retail & Convenience Stores,55,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Sun Holdings,2024-03-18,United States,1400,Food & Beverage,33,1,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0
Caxton and CTP Publishers and Printers,2024-04-13,South Africa,380,Printing & Publishing,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
RAVEN Mechanical,2024-06-07,United States,144,Mechanical Services,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Bojangles’ International,2024-04-13,United States,270,Food & Beverage,294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
