company_name,address,date_of_attack,revenue,industry ,data_volume,data_description
N/A,N/A,N/A,N/A,N/A,N/A,N/A
gocco,"CALLE DE LA CALENDULA (MINIPARC III, SOTO DE LA MORALEJA) 93 28109, ALCOBENDAS, Madrid Spain",18.02.2024,$937.9M,Retail,136 GB,N/A
geocom,"3071 Dionisio Oribe, Montevideo, Montevideo, 11600, Uruguay",17.12.2023,$63.2M,Technology and Software Development ,77 GB,"Clients, Sales, UserData"
AXIOM CONSTRUCTION,"1841 Front St Ste A, Lynden, Washington, 98264, United States",18.12.2023,$18.9M,Construction,2.4 TB,N/A
XINDAO,"1d Verrijn Stuartlaan, Rijswijk, South Holland, Netherlands",22.04.2024,$50.5M,Retail,1 TB,N/A
ODALYS,"2 Rue De La Roquette Passage Du Cheval Blanc Cour De Mai, Paris, France",18.12.2023,$151.1M,Hospitality and Toursim,2.4 TB,N/A
RENYPICOT,"140 Velazquez, Madrid, Madrid, 28006, Spain",20.03.2024,$911.7M,Spanish dairy producing company,350 GB,"Accounting\treasury\taxes, HR - payrolls\personal documents\dossiers, Customer data, contracts, Engineering\R&amp;D\QA documents, corporate correspondence, database exports with client information, employees' and executive managers personal folders and much more."
KELSON,"5-593 Norris Ct, Kingston, Ontario, K7P 2R9, Canada",28.03.2024,$61.8M,Industrial Machinery & Equipment,1.5 TB,"Accounting\payroll documents, Personal Identifying information, Engineering\QA data, projects and confidential design documents, contracts, tenders, various customer data, employees and executive managers personal folders, database exports, etc."
FLODRAULIC,"3539 N 700 W, Greenfield, Indiana, 46140, United States",15.09.2024,$58.4M,Industrial Machinery & Equipment,32 GB,"Employees personal and corporate data, customer information, contracts, projects, drawings, financial documents, corporate correspondence, etc."
HYDMECH,"1079 Parkinson Rd, Woodstock, Ontario, N4S 0A9, Canada",10.07.2024,$47.2M,Industrial Machinery & Equipment,980 GB,"Engineering data - drawings, r&amp;d, QA, Personal Identification information (passports, DLs, etc.), customer agreements, HR confidential data, executives and employees personal folders, financial statements\payroll, etc."
BALCAN,"9340 De Meaux St, Montreal, Quebec, H1R 3H2, Canada",02.08.2023,$398.5M,Containers and Packing ,82 GB,Customer Files
FBT INC.,"2572 S Union Ave, Bakersfield, California, 93307, United States",07.07.2024,$70.8M,Transportation,180 GB,"Personal identifiable information, financial documents, corporate confidential files, employees and executives personal files, corporate correspondence, etc."
PAUL STUART,"Ny-new Madison Avenue &amp; East 45th St, New York City, New York, 10017, United States",18.12.2023,$24.1M,Retail,230 GB,N/A
VERCO,"67 Clerkenwell Rd, London, Greater London, EC1R 5BL, United Kingdom",22.07.2024,$17.5M,"Design, Manufacture and supply of Office Furniture",592 GB,"Personal identifiable information, corporate confidential data, contracts, engineering data\drawings\projects, employees and executives personal files, financial documents\statements, corporate correspondence, etc."
FORONI S.P.A,"3040 Post Oak Blvd Ste 1030, Houston, Texas, 77056, United States",03.09.2023,$24.7M,Manufacturing (Metal Alloys),100 GB,"Commerceale, Personal, Administration"
REGULATOR MARINE,"187 Peanut Dr, Edenton, North Carolina, 27932, United States",13.05.2024,$28.1M,Boat construction,630 GB,"Thousands of engineering documents and drawings, administrative docs, corporate correspondence, employees and executive managers personal data, Personal Identifying information, database backups\exports, etc"
SEYMOURS,"188 High St, Ripley, Surrey, GU23 6BD, United Kingdom",30.07.2023,$43.8M,Real Estate,250 GB,"Accounts, Tenancies"
BALBOA BAY RESORT,"1221 W Coast Hwy, Newport Beach, California, 92663, United States",15.09.2024,$101M,Hotels and resorts,790 GB,"Personal Identifiable Information, employees\executives personal data, customer information, financial data, contracts, corporate correspondence, etc."
