company_name,date,country,revenue,industry,data volume,Data Type - None,Data Type - Databases,Data Type - Applications,Data Type - Emails,Data Type - Source Code,Data Type - Business Information,Data Type - Designs,Data Type - Financial Information,Data Type - Research Information,Data Type - Employee Information,Data Type - Customer Information,Data Type - Company Information,Data Type - Backup Systems Information,Data Type - Supply Systems Information,Data Type - Business Deals Information,Data Type - Manufacturing Information,Data Type - Personal Information,Data Type - Government Information,Data Type - Medical Information
Robertson Cheatham Farmers,2024-04-10,US,5000000,Agriculture,15737512820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hallesche Kraftverkehrs & Speditions GmbH,2024-03-20,DE,24000000,Logistics & Transportation,51027136900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crowe,2024-08-27,US,1300000000,Professional Services,1476868599583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Magicolor,2024-04-29,CA,5000000,Technology,Undisclosed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arcmed Group,2024-08-08,US,8000000,Medical Devices,3610494522,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Mid-South Health Systems,2024-04-19,US,29900000,Healthcare,411751947552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bartlett & Weigle Co. LPA.,2024-07-01,US,,Legal Services,214387771240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Optima Manufacturing,2024-04-11,CA,28100000,Manufacturing,412360220038,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NetVigour,2024-03-11,US,7000000,Cloud Computing,Undisclosed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trade-Mark Industrial,2024-05-08,CA,286000000,Construction & Industrial Services,968982,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Réseau Ribé,2024-02-16,FR,25000000,Technology,Undisclosed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOPEM,2024-03-16,TN,11600000,Manufacturing,23372337033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paulmann Licht,2024-04-09,DE,57000000,Lighting,320713176609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alupar Investimento SA,2024-03-16,BR,939400000,Energy & Utilities,133303761,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Inszone Insurance Services,2024-04-11,US,280000000,Insurance,213008596150,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Carespring Health Care,2024-02-11,US,57300000,Healthcare,391425795073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finlay Screening & Crushing Systems,2024-02-20,AU,19000000,Mining & Construction,Undisclosed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATL Leasing,2024-03-13,TN,67000000,Leasing Services,162113658030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chicago Zoological Society,2024-02-17,US,72200000,Non-Profit / Zoological Services,Undisclosed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jess-link Products,2024-05-20,TW,150000000,Electronics,435906064947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wapiti Energy,2024-03-16,US,26800000,Energy,436321243581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tamdown,2024-01-25,GB,141500000,Construction,1898379280853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Integrated Control,2024-04-13,US,6400000,Automation & Control Systems,244244179133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Durham Manufacturing,2024-07-31,US,23000000,Manufacturing,14968133060,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1
