company_name,date_of_attack,revenue,data_volume,country,industry,Data Type - Databases,Data type - Applications,Data Type - Emails,Data Type - Source Code,Data Type- Designs,Data Type - Financial Information,Data Type -Research Information,Data Type - Employee Information,Data Type - Customer Information,Data Type - Company Information,Data Type - Backup Systems Information,Data Type - Supply Systems Information,Data Type - Business Deals Information,Data Type - Manufacturing Information,Data Type -  Government Information,Data Type - Medical Information,Data Type - Personal Information,Data Type - Others,attacker
"On Q Financial, LLC",23/4/2024,270,,United States,Finance,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,bianlian
Instron & ITW Inc,21/2/2024,1000,2048,United States,Manufacturing,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,bianlian
Thompson Davis & Co,13/8/2024,5,,United States,Finance,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,bianlian
Romeo Pitaro Injury & Litigation Lawyers,10/5/2024,5,,Canada,Law,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,bianlian
Bluebonnet Nutrition,17/5/2024,26,,United States,Manufacturing,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,bianlian
Panacea Healthcare Services,29/5/2024,5,,United States,Finance,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,bianlian
Bira 91,4/4/2024,343,1945.6,India,Food & Beverage,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,bianlian
Elite Limousine Plus Inc,25/6/2024,15.6,1843.2,United States,Transportation & Logistics,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,bianlian
LT Business Dynamics,6/5/2024,5,920,United States,Finance,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,bianlian
"Pioneer Oil Company, Inc.",30/4/2024,20,,United States,Energy,0,0,1,1,1,1,0,0,0,1,0,0,1,0,1,0,1,0,bianlian
Dobrowski Stafford & Pierce,7/3/2024,7,,United States,Law,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,bianlian
Anniversary Holding,9/9/2024,5,2969.6,United States,Conglomerate,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,bianlian
Majestic Metals,10/9/2024,24.1,735,United States,Manufacturing,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,bianlian
Roncelli Plastics,24/3/2024,20,,United States,Manufacturing,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,bianlian
KC Pharmaceuticals,19/1/2024,22.5,2560,United States,Healthcare,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,bianlian
"Atwood & Cherny, P.C.",26/8/2024,5,,United States,Law,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,bianlian
Benson Kearley IFG - Insurance Brokers & Financial Advisors,12/9/2024,20,,Canada,Finance,0,0,0,0,1,0,0,1,0,1,1,0,1,1,0,0,1,0,bianlian
GCA Global Cargo Alliance,10/9/2024,5,1024,United States,Transportation & Logistics,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,bianlian
Consolidated Benefits Resources,1/4/2024,5.1,1228.8,United States,Finance,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,bianlian
HDI,10/9/2024,100,9728,Canada,Manufacturing,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0,0,1,bianlian
Nikolaus & Hohenadel,20/6/2024,15,388,United States,Law,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,bianlian
"Florence Cement Company, Inc.",26/7/2024,16,,United States,Contracting,0,0,1,1,1,1,0,0,0,1,0,0,1,0,1,0,1,0,bianlian
"GMJ & Co, Chartered Accountants",7/6/2024,5,110,India,Finance,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,bianlian
Critchfield & Johnston,20/6/2024,9.8,4812.8,United States,Law,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,bianlian
NSEIT Limited (a subsidiary of the National Stock Exchange of India),21/1/2024,50,3072,India,IT Services,1,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,bianlian
NOVA Business Law Group,20/2/2024,5,880,United States,Law,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,bianlian
Battle Lumber Co.,9/9/2024,106,1126.4,United States,Manufacturing,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,bianlian
Longview Oral & Maxillofacial Surgery,2/7/2024,5,2560,United States,Healthcare,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,bianlian
Mountjoy,13/6/2024,71.8,,United Kingdom,Construction,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,bianlian
Island Transportation Corp.,13/8/2024,98,,United States,Transportation & Logistics,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,bianlian
Center for Digestive Health,13/6/2024,6,,United States,Healthcare,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,1,0,bianlian
Chambers Construction,10/4/2024,20.9,4300.8,United States,Construction,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,bianlian
Martinaire Aviation,19/1/2024,20,365,United States,Airline,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,bianlian
Greenbox Loans Inc.,2/2/2024,21.6,1024,United States,Finance,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,bianlian
P&B Capital Group,5/4/2024,N/A,,United States,Finance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bianlian
Mohawk Valley Cardiology PC,16/8/2024,5,,United States,Healthcare,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,bianlian
Texas Centers for Infectious Disease Associates,30/8/2024,8,,United States,Healthcare,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,bianlian
Somerset Logistics,8/1/2024,40,624,United States,Transportation & Logistics,1,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,bianlian
Northeast Spine and Sports Medicine's,7/2/2024,7,400,United States,Healthcare,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,bianlian
PBC Companies,16/8/2024,250,,United States,Design,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,bianlian
"Law Offices of Michael J Gurfinkel, Inc",11/9/2024,5,,United States,Law,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,bianlian
"Wayne Wright, LLP.",28/8/2024,5,,United States,Law,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,bianlian
Stein Fibers,10/9/2024,100,707,United States,Manufacturing,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,bianlian
B&B Electric Inc,18/4/2024,40,750,United States,Construction,0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,bianlian
Sherr Puttmann Akins Lamb PC,17/9/2024,5,,United States,Law,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,bianlian
Affiliated Dermatologists and Dermatologic Surgeons,29/5/2024,N/A,,United States,Healthcare,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bianlian
Cislo & Thomas LLP,25/1/2024,7,3072,United States,Law,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,bianlian
Transit Mutual Insurance Corporation,3/7/2024,2,,United States,Finance,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,bianlian
Akumin,3/2/2024,800,5120,United States,Healthcare,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,bianlian
Lindsay Municipal Hospital,8/3/2024,13,,United States,Healthcare,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bianlian
Law Office of Michael H Joseph,15/2/2024,5,1945.6,United States,Law,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,bianlian
J.P. Original,21/2/2024,9,1228.8,United States,Retail,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,bianlian
Fish Nelson & Holden,26/8/2024,5,,United States,Law,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,bianlian
Donear Industries,3/2/2024,71,3584,India,Manufacturing,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,bianlian
"Hypertension Nephrology Associates, P.C.",7/3/2024,5,506,United States,Healthcare,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,bianlian
Scott Pharma Solutions,27/8/2024,5,,United States,Healthcare,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,bianlian
ASI,27/6/2024,370,,United States,IT Services,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bianlian
Pavilion Construction LLC,29/5/2024,N/A,,United States,Construction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bianlian
US Dermatology Partners,17/8/2024,210,,United States,Healthcare,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,bianlian
Augusta Orthopedic,23/7/2024,10,,United States,Healthcare,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,bianlian
Dr. Leeman ENT,26/3/2024,5,480,United States,Healthcare,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,bianlian
Keya Accounting and Tax Services LLC,6/9/2024,5,,United States,Finance,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,bianlian
M.Royo & KlockMetal,27/8/2024,5,,Argentina,Manufacturing,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,bianlian
Azteca Tax Systems,20/5/2024,5,484,United States,Finance,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,bianlian
Payne & Jones,25/6/2024,7.2,1689.6,United States,Law,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,bianlian
GROWTH by NCRC,26/4/2024,5,830,United States,Finance,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,bianlian
Shoma group,13/3/2024,20,2048,United States,Finance,0,0,1,1,1,1,0,0,0,1,0,0,1,0,1,0,1,0,bianlian
"Republic Shipping Consolidators, Inc",8/1/2024,5,117,United States,Transportation & Logistics,0,0,1,1,1,1,0,1,0,1,0,0,1,0,0,0,1,0,bianlian
Better Business Bureau,25/8/2024,400,,United States,Non-Profit,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,bianlian
"Karvo Companies, Inc.",18/8/2024,6,,United States,contracting,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,bianlian
Commonwealth Capital,2/2/2024,91.1,2048,Singapore,Finance,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,bianlian
