company name,date,country,revenue,industry,data volume,data description
Sunrise Erectors,2024-09-04 14:49:07,us,100000000,,1009691528086,All Data
"IDESA group, S.A. De C.V.",2023-11-29 03:57:13,mx,403400000,,752336022350,"Financial Planning, All Data"
Robertson Cheatham Farmers,2024-04-10 20:21:39,us,5000000,,15737512820,All Data
Hallesche Kraftverkehrs & Speditions GmbH,2024-03-20 03:34:59,de,24000000,,51027136900,All Data
Crowe,2024-08-27 17:46:26,us,1300000000,,1476868599583,All Data
Magicolor,2024-04-29 01:02:20,ca,5000000,,Undisclosed,
Arcmed Group,2024-08-08 06:58:59,us,8000000,,3610494522,"Requested Files, Private & Confidential, HR Docs, All Data, Finance"
"Builders Hardware and Hollow Metal, Inc.",2023-11-03 23:16:31,us,10000000,,824755685540,All Data
Mid-South Health Systems,2024-04-19 06:59:03,us,29900000,,411751947552,All Data
Bartlett & Weigle Co. LPA.,2024-07-01 15:38:37,us,,,214387771240,All Data
Optima Manufacturing,2024-04-11 21:27:21,ca,28100000,,412360220038,"Requested Files, All Data"
NetVigour,2024-03-11 16:46:21,us,7000000,,Undisclosed,
Trade-Mark Industrial,2024-05-08 20:49:00,ca,286000000,,968982,"Tender Documents, Drawnigs - Piping, All Data, Confidential"
Réseau Ribé,2024-02-16 15:13:04,fr,25000000,,Undisclosed,
SOPEM,2024-03-16 15:12:07,tn,11600000,,23372337033,All Data
SESAM Informatics,2024-09-06 17:10:52,sn,6000000,,3575021441,SESAM INFORMATICS
Paulmann Licht,2024-04-09 02:17:55,de,57000000,,320713176609,All Data
Alupar Investimento SA,2024-03-16 15:11:46,br,939400000,,133303761,"Bancos, Contratos Social, All Data, Some Samples"
"Dr. Jaime Schwartz MD, FACS",2023-12-09 12:00:01,us,5000000,,1157076496536,"Patients photos, SSN, DOB, contacts, Some insights, All the Data"
Inszone Insurance Services,2024-04-11 02:36:16,us,280000000,,213008596150,"Information on agents, Insurance companies, Personal information, All Data"
InstantWhip,2023-11-28 01:00:38,us,300000000,,21615828065,"Requested Files, Product Formulas, All Data"
Carespring Health Care,2024-02-11 03:12:38,us,57300000,,391425795073,All Data
Finlay Screening & Crushing Systems,2024-02-20 19:16:08,au,19000000,,Undisclosed,
ATL Leasing,2024-03-13 07:00:03,tn,67000000,,162113658030,All Data
Chicago Zoological Society,2024-02-17 16:57:16,us,72200000,,Undisclosed,
Jess-link Products,2024-05-20 23:51:12,tw,150000000,,435906064947,All Data
Wapiti Energy,2024-03-16 15:13:35,us,26800000,,436321243581,All Data
AutoCanada,2024-09-17 21:36:32,ca,6000000000,,736733740797,"All Data, Finance, IT - Information Technology:, Sales, Users data info, Marketing, Trusts & Sensitive, HR - Human Resources:, Leadership, Head & Executives, Requested Files, Accounting:"
Tamdown,2024-01-25 01:00:01,gb,141500000,,1898379280853,"Samples, All Data"
Integrated Control,2024-04-13 18:11:08,us,6400000,,244244179133,All Data
Deegenbergklinik,2023-11-03 23:16:07,de,5000000,,110657994977,All Data
Durham Manufacturing,2024-07-31 23:40:20,us,23000000,,14968133060,"Top Management, Accounting, HR, Medical, All data, IT, Engineering, Finance, Manufacturing"
Сoquitlam Concrete,2024-07-04 15:43:26,us,5000000,,10503796713,All Data
Jordano's Inc.,2024-04-13 03:07:39,us,229000000,,64075330,"All Data, Confidential"
DataBank,2024-04-04 02:07:39,us,278000000,,1616692922393,"All Data, Clients"
Associated Building Specialties,2024-09-13 21:06:37,us,60000000,,Undisclosed,
Circle K Atlanta,2024-06-19 07:00:03,us,74000000,,55587440197,"Active Employees, All Data, Circle K Atlanta"
Sun Holdings,2024-03-18 23:53:53,us,1400000000,,33978367941,"Employees' Personal Information, Employee Investigations, Employees, Lawsuits (Open & settled, dismissed or closed), Database, All Data, Due Diligencies"
Caxton and CTP Publishers and Printers,2024-04-13 18:13:53,za,380000000,,146940103,"Suppliers, All Data, Sales Analysis, Hazard Analysis"
RAVEN Mechanical,2024-06-07 02:38:00,us,144000000,,22430870,"All Data, IT, Insurance, Business Development"
Bojangles’ International,2024-04-13 03:06:41,us,270600000,,294824014841,All Data
Hanon Systems,2024-08-11 14:42:59,kr,7200000000,,2328211621559,All Data
Benchmark Management Group,2024-02-11 03:14:56,us,23700000,,512372938257,All Data
Lancaster County Sheriff's Office,2024-02-11 03:15:17,us,5800000,,36576725082,All Data
"City of St. Cloud, Florida",2024-04-16 13:43:27,us,57000000,,1369991746233,All Data
Jangho Group,2024-08-03 04:07:37,cn,2800000000,,1245301593241,All Data
SuperDrob S.A.,2024-08-16 23:30:44,pl,250000000,,443770055203,All Data
"DiVal Safety Equipment, Inc.",2024-03-05 04:22:51,us,62000000,,45828017490,"President, All Data, HR Manager, HR Recruitment Specialist, General Manager, Vice President"
Kaplan,2024-03-16 15:12:37,us,9400000,,13941242820,All Data
Northeast Rehabilitation Hospital Network,2024-07-19 05:33:53,us,80000000,,239642,"All Data, Database, Requested Files"
Ducont,2024-02-17 16:59:14,us,55300000,,Undisclosed,
R.C. Moore Trucking,2024-01-23 19:35:16,us,53800000,,608439720830,All Data
Hibser Yamauchi Architects,2024-05-08 03:45:42,us,16000000,,305484919375,All Data
Rocky Mountain Sales,2024-04-26 18:49:45,us,5000000,,301061169238,All Data
Azienda USL di Modena,2023-12-15 19:33:11,it,642000000,,85207884,"All Data, Some Random Files (Samples)"
Project M.O.R.E.,2024-05-08 04:52:10,us,7100000,,23144806187,All Data
Harper Industries,2024-06-11 02:48:37,us,20700000,,474604617065,All Data
HOYA Corporation,2024-07-16 21:25:16,jp,5600000000,,6065188,"Requested Files, Development, Drawings, Personal information database, Personally identifiable information. HR database., Research, Confidential, Senior Manager, HMJTC - Global R&D Injector System Design & Engineering unit, Personal documents, All Data, FY2024Q1, Clinical research, clinical development department, C2 CryoBalloon, Drivers' information database"
Pella,2024-05-10 20:58:22,us,3800000000,,339386434587,All Data
Acteon Group,2024-06-17 23:42:15,fr,200000000,,1774222,"Confidential Documents, All Data, Balance Sheet"
Frederick Wildman and Sons,2024-05-10 04:25:27,us,22000000,,129975636930,All Data
Carigali Hess Operating Company,2024-07-14 03:24:03,my,30000000,,Undisclosed,
Gibbs Hurley Chartered Accountants,2024-07-15 21:30:21,au,5100000,,Undisclosed,
Navitas Semiconductor,2024-08-30 18:59:02,ie,100000000,,110941688159,All Data
Legrand CRM,2024-06-15 22:59:04,au,7000000,,157147358880,All Data
